asof,mm_net,or_net,oi,release,price_asof,price_entry,fwd_1w,fwd_2w,fwd_4w,mm_chg,mm_z_full,mm_z_roll52,mm_pct_rank,or_chg,or_z_full,or_z_roll52,or_pct_rank
2017-02-14,383532,124924,2183943,2017-02-17,53.21,53.41,0.010859389627410732,-0.001497846845160078,-0.09492604381202008,31509.0,1.6275962789557405,2.4149775605032615,0.943327239488117,-43.0,-0.2303503713025208,-0.35838643483247307,0.4716636197440585
2017-02-21,405328,151279,2103278,2017-02-24,54.02,53.99,-0.01222448601592896,-0.11002037414335997,-0.12391183552509732,21796.0,1.8285868931908686,2.509659061811742,0.9652650822669104,26355.0,0.13830103936161575,0.5975753591467486,0.5648994515539305
2017-02-28,368602,156652,2120334,2017-03-03,54.0,53.33,-0.09900618788674298,-0.09356834802175129,-0.052315769735608475,-36726.0,1.489920105780366,1.9266334216611,0.9104204753199269,5373.0,0.2134580884793697,0.7705946981564679,0.5941499085923218
2017-03-07,357178,151347,2137532,2017-03-10,52.68,48.05,0.006035379812695307,-0.015608740894901163,0.08740894901144647,-11424.0,1.3845743186165695,1.6939892776399876,0.8903107861060329,-5305.0,0.13925221735156684,0.536829627802711,0.56672760511883
2017-03-14,254820,178980,2240261,2017-03-17,47.24,48.34,-0.02151427389325622,0.04551096400496468,0.10033098882912683,-102358.0,0.44068565593170733,0.42785891061835296,0.6855575868372943,27633.0,0.5257801790621374,1.6469782082142603,0.6910420475319927
2017-03-21,233399,185118,2194206,2017-03-24,47.02,47.3,0.06849894291754755,0.10465116279069764,0.04947145877378434,-21421.0,0.24315308355463436,0.16442582452351134,0.623400365630713,6138.0,0.6116379805668413,1.874932944431242,0.7148080438756855
2017-03-28,210245,187835,2222462,2017-03-31,48.36,50.54,0.03383458646616533,0.05243371586861878,-0.02433715868618913,-23154.0,0.029639747070868555,-0.1186204364163812,0.5521023765996343,2717.0,0.6496431364300345,1.9226772861578572,0.7239488117001828
2017-04-04,227992,180390,2213064,2017-04-07,50.99,52.25,0.017990430622009557,-0.04995215311004786,-0.11521531100478477,17747.0,0.1932927306839545,0.08627999099165053,0.6142595978062158,-7445.0,0.5455031344420058,1.5314759232722337,0.7020109689213894
2017-04-11,277021,160022,2193567,2017-04-14,53.38,53.19,-0.06674186877232557,-0.07294604248918957,-0.10077082158300432,49029.0,0.6454109553735353,0.6663060834421417,0.7276051188299817,-20368.0,0.26059735062841693,0.6220640472261362,0.6069469835466179
2017-04-18,293105,150778,2161434,2017-04-21,52.46,49.64,-0.006647864625302091,-0.06869460112812253,0.013698630136986356,16084.0,0.7937286760267653,0.8399568474686067,0.7641681901279708,-9244.0,0.13129309564153482,0.16485941938057672,0.5630712979890311
2017-04-25,220950,190872,2188272,2017-04-28,49.22,49.31,-0.062461975258568336,-0.03001419590346799,0.005475562766173114,-72155.0,0.12835531531215355,-0.03368194199363856,0.583180987202925,40094.0,0.6921244240106448,1.972238002359781,0.7385740402193784
2017-05-02,163005,210139,2215531,2017-05-05,47.65,46.23,0.03460956089119627,0.08847069002812025,0.03136491455764667,-57945.0,-0.4059813125945498,-0.7205695981364127,0.39853747714808047,19267.0,0.9616295171339959,2.6873197977566408,0.8007312614259597
2017-05-09,115851,212900,2276413,2017-05-12,45.84,47.83,0.052059376960067016,0.0365879155341835,-0.042023834413547956,-47154.0,-0.8408093279938541,-1.2534528914917933,0.22120658135283364,2761.0,1.000250141108334,2.659913590302974,0.8098720292504571
2017-05-16,115560,213392,2337124,2017-05-19,48.64,50.32,-0.014705882352941235,-0.05246422893481717,-0.11108903020667737,-291.0,-0.8434927684757051,-1.214663079901627,0.21937842778793418,492.0,1.0071321936238626,2.4653828163915796,0.8171846435100548
2017-05-23,172744,200245,2211099,2017-05-26,51.12,49.58,-0.038321903993545736,-0.07583703106091166,-0.13553852359822505,57184.0,-0.31617366017961523,-0.5348504923147847,0.43875685557586835,-13147.0,0.8232331195961106,1.8142474373539936,0.7678244972577697
2017-05-30,185196,188559,2198081,2017-06-02,49.63,47.68,-0.03901006711409394,-0.06187080536912759,-0.03481543624161065,12452.0,-0.20134822760226997,-0.38317066303172975,0.4789762340036563,-11686.0,0.6597703844406904,1.286068368416294,0.7294332723948812
2017-06-06,201590,180879,2228585,2017-06-09,48.13,45.82,-0.02378873854212138,-0.06460061108686166,-0.03426451331296376,16394.0,-0.05017185901304753,-0.1940593550999323,0.526508226691042,-7680.0,0.5523432232226836,0.9409958358639291,0.7056672760511883
